City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,half moon bay,37.4636,-122.4286,11.62,78,100,8.23,US,1680491513
85,mosquera,4.7059,-74.2302,12.05,82,20,2.06,CO,1680491513
86,tezu,27.9167,96.1667,16.68,91,100,1.24,IN,1680491513
87,manzhouli,49.6,117.4333,-5.26,46,39,10.41,CN,1680491513
88,port lincoln,-34.7333,135.8667,20.54,48,2,3.88,AU,1680491514
89,salcea,47.65,26.3667,6.85,88,75,9.83,RO,1680491514
90,vaini,-21.2,-175.2,26.1,64,23,5.68,TO,1680491514
91,ponoka,52.6768,-113.5815,-3.79,97,100,0.92,CA,1680491514
92,qaanaaq,77.484,-69.3632,-26.55,59,0,1.16,GL,1680491515
93,bethel,41.3712,-73.414,3.85,46,0,1.54,US,1680491515
94,hermanus,-34.4187,19.2345,17.67,92,63,2.58,ZA,1680491515
95,tarata,-17.6167,-66.0167,15.68,75,9,1.64,BO,1680491515
96,saint-philippe,-21.3585,55.7679,24.77,76,52,2.3,RE,1680491515
97,thompson,55.7435,-97.8558,-15.9,94,99,3.12,CA,1680491494
98,talnakh,69.4865,88.3972,-11.62,93,100,4.29,RU,1680491516
99,kiunga,-6.1219,141.2906,26.17,92,89,1.36,PG,1680491516
100,tucuru,15.3,-90.0667,20.03,94,100,0.33,GT,1680491516
101,turukhansk,65.8167,87.9833,-4.31,89,100,5.15,RU,1680491516
102,tateyama,34.9833,139.8667,13.46,56,74,8.6,JP,1680491517
103,enid,36.3956,-97.8784,17.79,74,0,4.63,US,1680491305
104,souillac,-20.5167,57.5167,24.68,86,70,3.07,MU,1680491517
105,fort-shevchenko,44.5086,50.263,7.0,81,3,3.68,KZ,1680491517
106,severo-kurilsk,50.6789,156.125,1.01,85,79,6.35,RU,1680491517
107,kolpny,52.2282,37.0368,4.59,83,100,3.11,RU,1680491517
108,mar del plata,-38.0023,-57.5575,18.38,68,0,2.57,AR,1680491518
109,bengkulu,-3.8004,102.2655,27.38,71,100,2.07,ID,1680491518
110,arraial do cabo,-22.9661,-42.0278,24.77,67,100,4.04,BR,1680491518
111,guerrero negro,27.9769,-114.0611,14.13,77,11,7.77,MX,1680491518
112,chermoz,58.787,56.1489,0.83,95,100,1.67,RU,1680491518
113,dikson,73.5069,80.5464,-30.02,96,53,4.72,RU,1680491519
114,severo-yeniseyskiy,60.3725,93.0408,-6.54,94,100,5.0,RU,1680491519
115,kehychivka,49.2866,35.7615,7.06,79,100,6.1,UA,1680491519
116,orlik,52.5178,99.825,-15.12,59,3,1.0,RU,1680491519
117,gulu,2.7746,32.299,17.81,91,31,1.69,UG,1680491519
118,lebu,-37.6167,-73.65,11.68,81,3,6.56,CL,1680491520
119,raudeberg,61.9875,5.1352,4.37,75,98,5.75,NO,1680491520
120,kavaratti,10.5669,72.642,27.59,69,25,3.33,IN,1680491520
121,tayu,-6.5397,111.0518,28.81,70,99,1.25,ID,1680491520
122,adrar,20.5022,-10.0711,22.86,6,0,3.22,MR,1680491521
123,kodiak,57.79,-152.4072,3.73,45,0,3.09,US,1680491521
124,kisiwani,-4.1333,37.95,21.84,90,100,0.55,TZ,1680491521
125,bera,24.0833,89.6167,27.84,58,2,2.52,BD,1680491521
